"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.868227770E-1	-5.334000015E1	-4.973999786E1	-2.484000015E1	7.704705453E1
1.968197770E-1	-5.363999939E1	-4.997999954E1	-2.531999969E1	7.756514857E1
2.073172770E-1	-5.357999802E1	-4.991999817E1	-2.531999969E1	7.748499719E1
2.176479430E-1	-5.339999771E1	-5.009999847E1	-2.531999969E1	7.747691261E1
2.278954430E-1	-5.286000061E1	-4.986000061E1	-2.513999939E1	7.689095457E1
2.380928430E-1	-5.261999893E1	-4.955999756E1	-2.495999908E1	7.647260424E1
2.482570090E-1	-5.291999817E1	-4.920000076E1	-2.531999969E1	7.656545347E1
2.585402940E-1	-5.339999771E1	-4.931999969E1	-2.495999908E1	7.685716414E1
2.687877940E-1	-5.352000046E1	-4.895999908E1	-2.501999855E1	7.672986568E1
2.790074600E-1	-5.393999863E1	-4.895999908E1	-2.526000023E1	7.710170279E1
2.892049600E-1	-5.352000046E1	-4.955999756E1	-2.519999886E1	7.717268785E1
2.993842320E-1	-5.327999878E1	-4.968000031E1	-2.550000000E1	7.718232116E1
3.095483980E-1	-5.327999878E1	-4.961999893E1	-2.579999924E1	7.724339794E1
3.196997820E-1	-5.273999786E1	-4.991999817E1	-2.550000000E1	7.696598984E1
3.298401390E-1	-5.303999710E1	-4.979999924E1	-2.537999916E1	7.705469210E1
3.399710050E-1	-5.327999878E1	-4.997999954E1	-2.526000023E1	7.729700017E1
3.500935050E-1	-5.279999924E1	-5.021999741E1	-2.489999962E1	7.700583121E1
3.602086810E-1	-5.268000031E1	-5.021999741E1	-2.513999939E1	7.700162427E1
3.703175140E-1	-5.231999969E1	-5.027999878E1	-2.477999878E1	7.667795632E1
3.804729870E-1	-5.213999939E1	-5.009999847E1	-2.471999931E1	7.641771882E1
3.906204870E-1	-5.273999786E1	-5.052000046E1	-2.460000038E1	7.706450441E1
4.007608670E-1	-5.273999786E1	-5.039999771E1	-2.387999916E1	7.675885293E1
4.108947300E-1	-5.261999893E1	-5.070000076E1	-2.429999924E1	7.700548245E1
4.210226860E-1	-5.202000046E1	-5.118000031E1	-2.393999863E1	7.680232036E1
4.311451860E-1	-5.184000015E1	-5.063999939E1	-2.447999954E1	7.649225798E1
4.412627060E-1	-5.202000046E1	-5.034000015E1	-2.489999962E1	7.655198263E1
4.513756290E-1	-5.225999832E1	-4.991999817E1	-2.495999908E1	7.645989273E1
4.614842580E-1	-5.273999786E1	-4.943999863E1	-2.543999863E1	7.663559466E1
4.715889360E-1	-5.243999863E1	-4.950000000E1	-2.526000023E1	7.640857980E1
4.816899010E-1	-5.279999924E1	-4.961999893E1	-2.531999969E1	7.675341424E1
4.917874340E-1	-5.286000061E1	-4.968000031E1	-2.531999969E1	7.683348540E1
5.018849670E-1	-5.315999985E1	-4.950000000E1	-2.513999939E1	7.686517516E1
5.119491670E-1	-5.327999878E1	-4.973999786E1	-2.501999855E1	7.706377868E1
5.220134000E-1	-5.309999847E1	-4.997999954E1	-2.465999985E1	7.697873593E1
5.320776000E-1	-5.321999741E1	-5.009999847E1	-2.477999878E1	7.717788745E1
5.421418330E-1	-5.297999954E1	-4.997999954E1	-2.484000015E1	7.695392331E1
5.522060330E-1	-5.297999954E1	-4.986000061E1	-2.513999939E1	7.697349922E1
5.622702330E-1	-5.286000061E1	-4.955999756E1	-2.555999947E1	7.683545142E1
5.723344330E-1	-5.286000061E1	-4.961999893E1	-2.526000023E1	7.677494103E1
5.823986660E-1	-5.309999847E1	-4.955999756E1	-2.555999947E1	7.700075823E1
5.924628660E-1	-5.369999695E1	-4.961999893E1	-2.495999908E1	7.725823918E1
6.025604320E-1	-5.393999863E1	-4.961999893E1	-2.477999878E1	7.736740971E1
6.126571650E-1	-5.352000046E1	-4.943999863E1	-2.507999992E1	7.705653969E1
6.227546980E-1	-5.363999939E1	-4.997999954E1	-2.484000015E1	7.740978941E1
6.328522640E-1	-5.315999985E1	-4.979999924E1	-2.501999855E1	7.701964577E1
6.429497970E-1	-5.315999985E1	-4.973999786E1	-2.495999908E1	7.696138334E1
6.530473300E-1	-5.327999878E1	-4.968000031E1	-2.495999908E1	7.700559885E1
6.631448630E-1	-5.297999954E1	-4.913999939E1	-2.519999886E1	7.652881702E1
6.732422630E-1	-5.273999786E1	-4.895999908E1	-2.507999992E1	7.620758021E1
6.833064290E-1	-5.231999969E1	-4.902000046E1	-2.495999908E1	7.591669360E1
6.933706620E-1	-5.219999695E1	-4.937999725E1	-2.471999931E1	7.598882929E1
7.034348620E-1	-5.243999863E1	-4.961999893E1	-2.460000038E1	7.627094970E1
7.134990950E-1	-5.303999710E1	-4.968000031E1	-2.453999901E1	7.670433674E1
7.235632950E-1	-5.291999817E1	-4.997999954E1	-2.465999985E1	7.685468205E1
