"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-3.970777988E-2	2.931237221E-3	1.570339203E-1	1.620029384E-1
9.997000000E-3	-3.924722970E-2	2.820163965E-3	1.570301056E-1	1.618849975E-1
1.999450000E-2	-3.882163018E-2	2.727627754E-3	1.570262909E-1	1.617770532E-1
2.999183300E-2	-3.842888027E-2	2.643942833E-3	1.570234299E-1	1.616790858E-1
3.998933300E-2	-3.806446493E-2	2.555549145E-3	1.570196152E-1	1.615877281E-1
5.018673300E-2	-3.769917786E-2	2.477467060E-3	1.570167542E-1	1.614980710E-1
6.035089900E-2	-3.737019002E-2	2.403602004E-3	1.570138931E-1	1.614176912E-1
7.049118400E-2	-3.704777360E-2	2.330198884E-3	1.570110321E-1	1.613394916E-1
8.048868400E-2	-3.673046827E-2	2.255737782E-3	1.570081711E-1	1.612630815E-1
9.048623900E-2	-3.644002229E-2	2.180948853E-3	1.570062637E-1	1.611942884E-1
1.004837390E-1	-3.615740687E-2	2.112090588E-3	1.570034027E-1	1.611269297E-1
1.104812840E-1	-3.589031845E-2	2.034291625E-3	1.570014954E-1	1.610643438E-1
1.204787840E-1	-3.562220931E-2	1.975312829E-3	1.569986343E-1	1.610012883E-1
1.304763220E-1	-3.536815196E-2	1.922070980E-3	1.569967270E-1	1.609427625E-1
1.404738220E-1	-3.510120511E-2	1.857489347E-3	1.569948196E-1	1.608816903E-1
1.504713550E-1	-3.486502916E-2	1.790434122E-3	1.569929123E-1	1.608277042E-1
1.604688550E-1	-3.462170064E-2	1.730561256E-3	1.569900513E-1	1.607716803E-1
1.704664430E-1	-3.437389433E-2	1.674279571E-3	1.569881439E-1	1.607160389E-1
1.804639980E-1	-3.414626420E-2	1.598462462E-3	1.569862366E-1	1.606648714E-1
1.904615240E-1	-3.392770886E-2	1.549363136E-3	1.569843292E-1	1.606162183E-1
2.004590740E-1	-3.369974345E-2	1.502305269E-3	1.569824219E-1	1.605659067E-1
2.104565970E-1	-3.348629177E-2	1.440599561E-3	1.569805145E-1	1.605188120E-1
2.204541420E-1	-3.324967623E-2	1.387387514E-3	1.569786072E-1	1.604672830E-1
2.304516630E-1	-3.304235637E-2	1.325562596E-3	1.569766998E-1	1.604220643E-1
2.404492040E-1	-3.283003718E-2	1.269668341E-3	1.569747925E-1	1.603761481E-1
2.504467240E-1	-3.260929137E-2	1.220241189E-3	1.569738388E-1	1.603297881E-1
2.604442620E-1	-3.241391480E-2	1.160040498E-3	1.569719315E-1	1.602878499E-1
2.704418170E-1	-3.222003579E-2	1.109540462E-3	1.569700241E-1	1.602465296E-1
2.804393520E-1	-3.200428933E-2	1.054763794E-3	1.569690704E-1	1.602019854E-1
2.904369030E-1	-3.180490434E-2	1.013547182E-3	1.569671631E-1	1.601601371E-1
3.004344360E-1	-3.161355853E-2	9.686797857E-4	1.569662094E-1	1.601210365E-1
3.104320020E-1	-3.142874688E-2	9.229183197E-4	1.569643021E-1	1.600825101E-1
3.204295350E-1	-3.122465126E-2	8.664131165E-4	1.569623947E-1	1.600403789E-1
3.304271010E-1	-3.104568459E-2	8.233785629E-4	1.569604874E-1	1.600034596E-1
3.404246670E-1	-3.086219542E-2	7.638484240E-4	1.569585800E-1	1.599657914E-1
3.503889000E-1	-3.067409061E-2	7.176250219E-4	1.569576263E-1	1.599284568E-1
3.603531330E-1	-3.049215116E-2	6.722658873E-4	1.569566727E-1	1.598925274E-1
3.703173660E-1	-3.030891158E-2	6.331056356E-4	1.569547653E-1	1.598556514E-1
3.803149320E-1	-1.578278095E-2	2.970576286E-3	8.512496948E-2	8.662667561E-2
3.903124650E-1	-1.560003683E-2	2.941116691E-3	8.512306213E-2	8.659068670E-2
4.003100310E-1	-1.542798802E-2	2.899125218E-3	8.512210846E-2	8.655750164E-2
4.103075640E-1	-2.963507734E-2	7.642149925E-3	1.282176971E-1	1.318196424E-1
4.203384970E-1	-3.421743587E-2	4.037469625E-4	1.234283447E-1	1.280841607E-1
4.303693630E-1	-5.270093679E-3	5.139678717E-3	1.282148361E-1	1.284259880E-1
4.404002630E-1	4.496786743E-3	2.693235874E-3	1.306066513E-1	1.307117897E-1
4.504311290E-1	4.643224180E-3	2.637550235E-3	1.306056976E-1	1.307148211E-1
4.604620620E-1	-1.674492657E-2	-1.654918492E-2	1.329984665E-1	1.350661326E-1
4.704929280E-1	-1.658796147E-2	-4.610970616E-3	1.449689865E-1	1.459877685E-1
4.805237940E-1	-3.797347099E-2	-2.220109105E-3	1.258144379E-1	1.314389066E-1
4.905546940E-1	-4.256518185E-2	-4.625663161E-3	1.258125305E-1	1.328983984E-1
5.005855600E-1	-4.231137410E-2	1.603364944E-4	1.377830505E-1	1.441334351E-1
5.106164600E-1	-1.570232958E-2	-7.010221481E-3	1.162338257E-1	1.174989727E-1
5.206473260E-1	-1.783106662E-2	4.952907562E-3	1.282043457E-1	1.295331328E-1
5.306782260E-1	-5.616862327E-3	3.128349036E-2	1.234140396E-1	1.274410887E-1
5.407090920E-1	-5.978010595E-4	9.669512510E-3	1.138353348E-1	1.142468393E-1
5.507399920E-1	-1.479357481E-2	-2.358719707E-3	1.353816986E-1	1.362079944E-1
5.607708920E-1	-1.939510554E-2	-1.199677587E-2	1.281986237E-1	1.302112893E-1
5.708017580E-1	-4.556333274E-2	1.669551432E-2	1.281967163E-1	1.370735407E-1
5.808326580E-1	-3.095376864E-2	-1.208791137E-2	1.377716064E-1	1.417225068E-1
5.908635240E-1	-3.789158911E-2	-9.727105498E-3	1.377706528E-1	1.432171144E-1
6.009277570E-1	-3.044280037E-2	-1.677125692E-4	1.473455429E-1	1.504576393E-1
6.109919570E-1	-2.297328785E-2	-7.352530956E-3	1.234025955E-1	1.257379507E-1
6.210561900E-1	-2.747598663E-2	-4.960551858E-3	1.521320343E-1	1.546728573E-1
6.311203900E-1	-8.547306061E-4	4.613786936E-3	1.234006882E-1	1.234898677E-1
6.411845900E-1	1.765046269E-3	4.620015621E-3	1.257934570E-1	1.258906421E-1
6.512487900E-1	-5.218736827E-3	-9.775161743E-3	1.377639771E-1	1.382089084E-1
6.613130560E-1	-3.139327094E-2	1.416336000E-2	1.186084747E-1	1.235075241E-1
6.713772560E-1	-1.206178963E-2	-1.459516585E-2	1.210012436E-1	1.224736975E-1
6.814414560E-1	-3.342662752E-2	-2.179741859E-4	1.401557922E-1	1.440868941E-1
6.915056890E-1	-2.123906836E-2	-7.415533066E-3	1.449432373E-1	1.466786631E-1
7.015698890E-1	-2.101977170E-2	-7.411181927E-3	1.449422836E-1	1.466459069E-1
7.116341220E-1	-2.318862639E-2	-9.780690074E-3	1.401529312E-1	1.423945870E-1
7.216649550E-1	-2.536366507E-2	9.377971292E-3	1.233930588E-1	1.263214503E-1
7.316958880E-1	-1.077878475E-2	-4.983246326E-3	1.066312790E-1	1.072904684E-1
7.417267540E-1	-5.812849849E-3	-4.991918802E-3	1.281805038E-1	1.284093067E-1
7.517576540E-1	-8.045978844E-3	4.598990083E-3	1.329669952E-1	1.332895731E-1
7.617884870E-1	-4.140468687E-2	1.658415794E-2	1.377553940E-1	1.447961704E-1
7.718193530E-1	-2.445112914E-2	9.370177984E-3	1.473312378E-1	1.496400734E-1
7.818502530E-1	-2.661615610E-2	-1.702360809E-2	1.353578568E-1	1.389963035E-1
7.918811190E-1	-3.597713262E-2	-1.943279803E-2	1.521167755E-1	1.575166693E-1
8.019120190E-1	-3.334115073E-2	-9.835019708E-3	1.329631805E-1	1.374320462E-1
8.119428850E-1	-1.629766822E-2	4.564478993E-3	1.377506256E-1	1.387864666E-1
8.219737850E-1	-1.690309495E-3	-2.034008503E-4	1.281738281E-1	1.281851346E-1
8.320046510E-1	-1.583973318E-2	6.983175874E-3	1.233844757E-1	1.245929000E-1
8.420355510E-1	-1.562669128E-2	6.967365742E-3	1.233835220E-1	1.245641649E-1
8.520664510E-1	-2.024721913E-2	6.919190288E-3	1.305646896E-1	1.323063236E-1
8.620973840E-1	-2.005982585E-2	6.867915392E-3	1.305627823E-1	1.322732210E-1
8.721282840E-1	-3.182438761E-2	-1.952362061E-2	1.353502274E-1	1.404052971E-1
