"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.000103070E-1	1.932910681E-1	-2.578781843E-1	3.947925568E-2	3.246863203E-1
5.100745400E-1	2.039394379E-1	-2.913863957E-1	-4.183673859E-2	3.581167946E-1
5.201387400E-1	4.598318040E-2	-3.004004359E-1	7.557582855E-2	3.131558408E-1
5.302029400E-1	5.871385336E-2	-3.014069200E-1	3.773736954E-1	4.865227168E-1
5.402671400E-1	1.257829368E-1	-2.883161008E-1	3.033075333E-1	4.369702289E-1
5.503313060E-1	1.254055202E-1	-2.828590274E-1	3.034534454E-1	4.333817802E-1
5.603955060E-1	9.057585150E-2	-2.725733817E-1	1.862907410E-2	2.878320268E-1
5.704597390E-1	2.698523402E-1	-3.242854178E-1	-4.320144653E-4	4.218785422E-1
5.805573050E-1	2.829664946E-1	-4.024084508E-1	7.395744324E-2	4.974658800E-1
5.906548380E-1	1.753924936E-1	-3.912281990E-1	1.913070679E-2	4.291713113E-1
6.007523710E-1	1.753671318E-1	-3.824372292E-1	1.938247681E-2	4.211740087E-1
6.108499040E-1	1.777190119E-1	-2.293672562E-1	1.345872879E-1	3.198548475E-1
6.209474370E-1	2.473584414E-1	-2.617557645E-1	1.420965195E-1	3.871610771E-1
6.310449700E-1	2.464239299E-1	-2.504947782E-1	1.424646378E-1	3.791682478E-1
6.411761030E-1	2.099041641E-1	-2.955890894E-1	-2.719497681E-2	3.635549953E-1
6.513069030E-1	1.724334657E-1	-2.929149270E-1	-2.695274353E-2	3.409676010E-1
6.614377690E-1	5.546126515E-2	-2.081651688E-1	-1.951789856E-2	2.163091255E-1
6.715686350E-1	-1.094969660E-1	-1.411294937E-1	-6.950950623E-2	1.916733967E-1
6.816995010E-1	-2.029683888E-1	-1.413894594E-1	-1.647567749E-2	2.479084388E-1
6.918303670E-1	-1.386193186E-1	-1.007908881E-1	3.072299957E-1	3.518016329E-1
7.019612330E-1	8.878356218E-2	-2.183079422E-1	5.975513458E-1	6.423460823E-1
7.120920660E-1	8.672316372E-2	-2.011198997E-1	5.982751846E-1	6.371054212E-1
7.222229320E-1	1.795506775E-1	-2.316341400E-1	1.367845535E-1	3.234236150E-1
7.323537650E-1	2.375146449E-1	-1.833676696E-1	9.407997131E-2	3.144645445E-1
7.424911310E-1	2.315095961E-1	-1.794174612E-1	9.431552887E-2	3.077056019E-1
7.526220640E-1	8.545186371E-2	-2.534507513E-1	8.980083466E-2	2.821409121E-1
7.627529300E-1	-9.531356394E-2	-1.859602332E-1	3.911018372E-3	2.090004303E-1
7.728837960E-1	-1.098743305E-1	-1.046126485E-1	3.465385437E-1	3.782923962E-1
7.829812960E-1	-5.386628211E-3	-9.956285357E-2	1.408739090E-1	1.725897906E-1
7.930788290E-1	2.363916636E-1	-1.152337790E-1	3.814125061E-2	2.657340727E-1
8.031763620E-1	1.913747340E-1	-8.182504773E-2	2.609701157E-1	3.338038774E-1
8.132738950E-1	2.475411743E-1	-3.608146608E-1	4.853248596E-3	4.375927404E-1
8.234047950E-1	2.479713857E-1	-3.602298796E-1	4.875183105E-3	4.373547093E-1
8.335356610E-1	-8.836579323E-2	-3.140529096E-1	7.444000244E-2	3.346327202E-1
8.436665270E-1	-1.813597679E-1	-1.921129823E-1	3.634738922E-2	2.666831380E-1
8.537976930E-1	-5.355940759E-2	-1.094409823E-1	1.539793015E-1	1.963557079E-1
8.639285590E-1	4.781918228E-2	-8.926248550E-2	2.621765137E-1	2.810533576E-1
8.740593920E-1	1.091279835E-1	-1.237378418E-1	2.603244781E-1	3.082025376E-1
8.841568920E-1	1.488364935E-1	-1.764757633E-1	1.602802277E-1	2.810440325E-1
8.942544250E-1	1.966652870E-1	-1.705938578E-1	3.523139954E-1	4.380692305E-1
9.043519580E-1	2.210567147E-1	-1.777446866E-1	2.378778458E-1	3.701960484E-1
9.144494910E-1	1.318599731E-1	-2.101252079E-1	-2.977180481E-2	2.498519879E-1
9.245470240E-1	7.830563188E-2	-1.776626706E-1	6.416225433E-2	2.044812739E-1
9.346445570E-1	1.201035082E-2	-2.492851615E-1	-4.774761200E-2	2.541007177E-1
9.447084900E-1	1.248856038E-1	-3.074288964E-1	-6.861305237E-2	3.388461175E-1
9.547727560E-1	2.102610618E-1	-2.987406254E-1	1.284513474E-1	3.872407830E-1
9.648369560E-1	1.518693566E-1	-1.610912681E-1	1.627798080E-1	2.747944032E-1
9.749011560E-1	2.990990877E-2	-7.605731487E-3	3.023920059E-1	3.039627856E-1
9.849653560E-1	-2.080439329E-1	1.313418448E-1	7.459077835E-1	7.854370629E-1
9.950295560E-1	-5.142225623E-1	3.073540330E-1	1.311428070E0	1.441781859E0
1.005093756E0	-6.157501936E-1	3.399029076E-1	1.587235451E0	1.736087171E0
1.015157989E0	-5.230934620E-1	8.445215225E-2	1.798440933E0	1.874872989E0
1.025222189E0	-5.151544809E-1	-1.931948066E-1	1.758313179E0	1.842382590E0
1.035286422E0	-3.696908951E-1	-5.754351616E-2	1.375866890E0	1.425830394E0
1.045344122E0	-8.153036237E-2	-1.448329687E-1	1.856237411E0	1.863663359E0
1.055408255E0	5.418162346E-1	-1.323706806E-1	1.819917679E0	1.903467149E0
1.065472455E0	1.127743959E0	3.202137351E-2	1.836232185E0	2.155128870E0
1.075536655E0	1.100393772E0	2.681129575E-1	1.983633995E0	2.284196760E0
1.085600888E0	6.182211637E-1	1.370962858E-1	2.041522980E0	2.137477222E0
1.095665088E0	6.130328774E-1	1.296414137E-1	2.041543007E0	2.135536011E0
1.105695954E0	1.147446632E-1	6.283056736E-2	2.226452827E0	2.230292853E0
1.115726820E0	3.366860151E-1	7.997839451E-1	3.493895531E0	3.600044140E0
1.125724353E0	1.816898584E-2	6.896117926E-1	3.343766212E0	3.414186143E0
1.135721886E0	-3.961736560E-1	5.198828578E-1	3.409017563E0	3.471114014E0
1.145719452E0	-5.343384147E-1	3.756266832E-1	4.034132004E0	4.086665385E0
1.155716685E0	-2.315371931E-1	2.252790630E-1	4.826498985E0	4.837298066E0
1.165747618E0	1.072769165E-1	2.618414760E-1	4.345126152E0	4.354330095E0
1.175778484E0	3.213929534E-1	1.988052726E-1	4.086043358E0	4.103482337E0
1.185809384E0	2.919122577E-1	8.327817917E-2	3.828488350E0	3.840504012E0
1.195840250E0	3.013109565E-1	6.035012007E-2	3.826673508E0	3.838992129E0
1.205871150E0	3.245728612E-1	1.438907087E-1	3.516021729E0	3.533901650E0
1.215902050E0	3.074657619E-1	2.447794080E-1	3.392330170E0	3.415019200E0
1.225966283E0	-1.097857356E-1	-3.047025204E-2	3.606431961E0	3.608231261E0
1.236030516E0	4.524090886E-2	-2.054879665E-1	3.495465279E0	3.501792335E0
1.246093549E0	4.032219946E-1	-4.109613299E-1	3.444847107E0	3.492627776E0
1.256157715E0	4.226976037E-1	-3.972981572E-1	3.444781303E0	3.493284603E0
1.266221915E0	3.875606060E-1	-6.474801302E-1	3.150188446E0	3.239308721E0
1.276286148E0	8.195191622E-2	-7.880259752E-1	2.857866287E0	2.965653515E0
