"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
6.342433710E-1	-1.199999928E0	2.292000008E1	-4.200000000E1	4.786195152E1
6.442742710E-1	-1.199999928E0	2.273999977E1	-4.229999924E1	4.803995759E1
6.543051370E-1	-9.599999785E-1	2.268000031E1	-4.254000092E1	4.821779435E1
6.643360370E-1	-1.439999938E0	2.297999954E1	-4.229999924E1	4.816060542E1
6.743669030E-1	-1.259999990E0	2.315999985E1	-4.313999939E1	4.897992181E1
6.843978360E-1	-1.620000005E0	2.327999878E1	-4.295999908E1	4.888910169E1
6.944287360E-1	-1.799999952E0	2.292000008E1	-4.236000061E1	4.819684694E1
7.044596020E-1	-1.199999928E0	2.310000038E1	-4.236000061E1	4.826406188E1
7.144912680E-1	-1.319999933E0	2.310000038E1	-4.187999725E1	4.784648981E1
7.245221340E-1	-1.079999924E0	2.310000038E1	-4.205999756E1	4.799812301E1
7.345530340E-1	-1.079999924E0	2.345999908E1	-4.259999847E1	4.864460738E1
7.445839000E-1	-1.319999933E0	2.310000038E1	-4.254000092E1	4.842524234E1
7.546148000E-1	-1.139999986E0	2.303999901E1	-4.247999954E1	4.833933714E1
7.646456660E-1	-1.379999995E0	2.321999931E1	-4.229999924E1	4.827383042E1
7.746765320E-1	-1.620000005E0	2.321999931E1	-4.163999939E1	4.770411216E1
7.847074320E-1	-1.559999943E0	2.334000015E1	-4.200000000E1	4.807482925E1
7.947382980E-1	-1.319999933E0	2.292000008E1	-4.193999863E1	4.781247001E1
8.047691980E-1	-1.019999981E0	2.261999893E1	-4.163999939E1	4.739825209E1
8.148000310E-1	1.199999973E-1	2.273999977E1	-4.170000076E1	4.749749523E1
8.247979310E-1	4.199999869E-1	2.219999886E1	-4.068000031E1	4.634521306E1
8.347954640E-1	3.599999845E-1	2.268000031E1	-4.050000000E1	4.641941419E1
8.448263970E-1	7.799999714E-1	2.213999939E1	-4.002000046E1	4.574263230E1
8.548572970E-1	4.199999869E-1	2.177999878E1	-3.959999847E1	4.519628996E1
