"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.004698029E0	1.039878279E-1	4.141476005E-2	7.866287231E-2	1.368082533E-1
3.014762229E0	7.790082693E-2	9.031906724E-2	1.409206390E-1	1.846204194E-1
3.024826429E0	7.568760216E-2	9.079939872E-2	1.409606934E-1	1.839648363E-1
3.034889729E0	9.782370925E-2	4.799673334E-2	1.362447739E-1	1.744585994E-1
3.044953929E0	9.658151865E-2	4.685223475E-2	1.362543106E-1	1.734599631E-1
3.053885366E0	1.208415180E-1	-4.985924810E-2	2.583255768E-1	2.895180836E-1
3.063916232E0	2.380773425E-1	4.285363853E-2	3.564434052E-1	4.307773862E-1
3.073947132E0	2.372405082E-1	3.525021672E-2	3.563938141E-1	4.295837372E-1
3.083977998E0	1.790873855E-1	-3.032957762E-2	7.864952087E-2	1.979341357E-1
3.094008898E0	1.068384945E-1	-1.471440494E-2	1.169662476E-1	1.590977080E-1
3.104039764E0	-9.362593293E-3	3.058806062E-3	4.278659821E-2	4.390566517E-2
3.114070664E0	-1.370079815E-2	3.620535135E-3	4.286861420E-2	4.515017417E-2
3.124101530E0	-1.674425602E-2	-7.770895213E-2	4.768466949E-2	9.269778344E-2
3.134132430E0	-1.597741246E-2	-7.318940759E-2	4.770088196E-2	8.881070449E-2
3.144130663E0	-1.037269533E-1	-3.716326505E-2	3.948898315E-1	4.099736189E-1
3.154128196E0	-1.804006100E-2	3.537992388E-2	3.446884155E-1	3.469687113E-1
3.164159096E0	-2.521196008E-2	3.492656350E-2	3.448209763E-1	3.475010985E-1
3.174189996E0	1.737409979E-1	9.889866412E-2	1.941452026E-1	2.786740745E-1
3.184220862E0	9.949971735E-2	-2.115022391E-2	-1.553058624E-1	1.856540779E-1
3.194251728E0	5.079380274E-1	-2.691854537E-1	-1.247064590E0	1.373183142E0
3.204315961E0	1.439872503E0	-6.739946008E-1	-3.583919048E0	3.920711325E0
3.214380161E0	1.638010025E0	-7.443915606E-1	-5.135343552E0	5.441410574E0
3.224444361E0	1.645868301E0	-7.092607617E-1	-5.135213852E0	5.438966317E0
3.254704727E0	-3.610624671E-1	6.643477082E-2	-9.880315781E0	9.887134044E0
3.264802260E0	-4.538367093E-1	4.133073986E-1	-9.730633736E0	9.749975572E0
3.274899793E0	-6.302080750E-1	5.635914803E-1	-9.711960793E0	9.748691195E0
3.284997326E0	-8.037451506E-1	7.184101343E-1	-9.575268745E0	9.635761046E0
3.295094859E0	-9.790359139E-1	8.681696653E-1	-9.545635223E0	9.634904343E0
3.305191392E0	-1.160799980E0	1.029502392E0	-9.541674614E0	9.666999856E0
3.315288925E0	-1.336706042E0	1.178357959E0	-9.489226341E0	9.655088144E0
3.325386458E0	-1.512009025E0	1.309125423E0	-9.419473648E0	9.629458161E0
3.335484891E0	-1.683649659E0	1.455951929E0	-9.368366241E0	9.629161865E0
3.345582424E0	-1.851413250E0	1.609329700E0	-9.283273697E0	9.601918748E0
3.355679857E0	-2.024318695E0	1.754593849E0	-9.224248886E0	9.605375228E0
3.365777390E0	-2.190568209E0	1.899046183E0	-9.157757759E0	9.605701050E0
3.375874923E0	-2.352055788E0	2.059364557E0	-9.072003365E0	9.595540311E0
3.385972456E0	-2.513315678E0	2.201908588E0	-8.995870590E0	9.596397491E0
3.396069989E0	-2.678907633E0	2.343426466E0	-8.884009361E0	9.570465821E0
3.406167522E0	-2.824407578E0	2.464629412E0	-8.770195961E0	9.537715318E0
3.416265055E0	-2.980704784E0	2.610896587E0	-8.671412468E0	9.533875193E0
3.426362588E0	-3.128161430E0	2.747460365E0	-8.578763962E0	9.535676353E0
3.436459021E0	-3.271297693E0	2.892025948E0	-8.437178612E0	9.500062400E0
