"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.945637110E-1	4.245492816E-2	-4.409742355E-1	2.609948158E0	2.647279752E0
6.045946110E-1	4.317715764E-2	-4.352189302E-1	2.610221863E0	2.646608765E0
6.146254770E-1	-7.779401541E-2	-6.067563891E-1	2.459501266E0	2.534433212E0
6.246563770E-1	-5.704298615E-2	-8.465448618E-1	2.117271423E0	2.280949448E0
6.346872430E-1	2.477146089E-1	-1.068015933E0	1.959640503E0	2.245486910E0
6.447514760E-1	3.049915433E-1	-1.295574188E0	1.902812004E0	2.322116673E0
6.548156420E-1	2.167047262E-1	-1.444641113E0	2.032958031E0	2.503371175E0
6.648798420E-1	4.122502208E-1	-1.357238412E0	2.462574005E0	2.841886184E0
6.749440420E-1	4.061403275E-1	-1.340892315E0	2.463852882E0	2.834345285E0
6.850082420E-1	4.144148827E-1	-1.438421369E0	2.467345238E0	2.885929357E0
6.950724750E-1	-4.787728190E-2	-1.269391298E0	2.683536530E0	2.969009062E0
7.051366750E-1	-4.514512420E-2	-1.215775013E0	2.854068756E0	3.102556273E0
7.152009080E-1	1.927939653E-1	-1.273365974E0	2.409110069E0	2.731747013E0
7.252651080E-1	2.648808360E-1	-1.097043157E0	2.274911880E0	2.539466402E0
7.353293410E-1	3.931585550E-1	-9.739782214E-1	2.005839348E0	2.264199354E0
7.453935410E-1	4.743082523E-1	-1.086211085E0	1.556610107E0	1.956491213E0
7.554577410E-1	4.051555991E-1	-9.876976013E-1	1.636322021E0	1.953777717E0
7.655219410E-1	4.353507161E-1	-9.891522527E-1	1.634761810E0	1.959693497E0
7.755861410E-1	3.103932738E-2	-8.142413497E-1	1.729319572E0	1.911674292E0
7.856503740E-1	6.734514236E-2	-8.035765290E-1	1.728446960E0	1.907301628E0
7.957156070E-1	-6.723454595E-2	-7.779763937E-1	1.560189247E0	1.744694311E0
8.058131730E-1	-1.167994738E-2	-6.724646688E-1	1.746766090E0	1.871773738E0
8.159107060E-1	7.516354322E-3	-6.602342129E-1	1.746922493E0	1.867539533E0
8.259749390E-1	4.377764463E-1	-8.754065037E-1	1.723430634E0	1.981968192E0
8.360391390E-1	8.787828684E-1	-1.224528074E0	1.944369316E0	2.460142348E0
8.461033720E-1	8.817665577E-1	-1.211139321E0	1.945186615E0	2.455223347E0
8.561675720E-1	1.283768654E0	-1.251007795E0	2.120885849E0	2.776911818E0
8.662317720E-1	1.338483214E0	-9.803693891E-1	2.452223778E0	2.960753774E0
8.763304380E-1	4.470747709E-1	-7.461771369E-1	2.297292709E0	2.456462897E0
8.864324040E-1	1.607465148E-1	-5.191564560E-1	2.271526337E0	2.335635838E0
8.965299370E-1	3.585138023E-1	-3.931511641E-1	2.569147110E0	2.623664776E0
9.066274700E-1	3.565746844E-1	-3.803138137E-1	2.570172310E0	2.622512117E0
9.167250030E-1	6.330974102E-1	-4.371328354E-1	2.640739441E0	2.750527630E0
9.268225360E-1	1.143321991E0	-5.900596976E-1	2.085974693E0	2.450845985E0
9.369201020E-1	1.148302555E0	-5.896492004E-1	2.085874557E0	2.452989524E0
9.469842680E-1	3.944725096E-1	-6.337544918E-1	1.172884941E0	1.390292200E0
9.570485010E-1	3.657444715E-1	-6.081345081E-1	1.463780403E0	1.626729746E0
9.671127010E-1	3.809625804E-1	-4.449335337E-1	1.946455956E0	2.032680281E0
9.771769340E-1	3.995084167E-1	-4.468733072E-1	1.945931435E0	2.036161063E0
9.872411340E-1	4.773335457E-1	-6.321499348E-1	2.103693008E0	2.247884589E0
9.973053670E-1	6.134704351E-1	-7.958398461E-1	2.328352928E0	2.535928704E0
1.007369567E0	4.435920715E-1	-8.405607939E-1	1.216734886E0	1.543943055E0
1.017433767E0	1.976093203E-1	-1.144791603E0	6.344070435E-1	1.323657643E0
1.027498000E0	2.466034144E-1	-1.147185922E0	6.341619492E-1	1.333795397E0
1.037562166E0	1.335001588E-1	-1.068967342E0	3.566541672E-1	1.134775602E0
1.047626399E0	1.479637474E-1	-1.059450150E0	3.574628830E-1	1.127877477E0
1.057690599E0	4.990626276E-1	-8.965896964E-1	7.127447128E-1	1.249376491E0
1.067754832E0	1.049882770E0	-8.974041939E-1	4.817066193E-1	1.462747204E0
1.077818232E0	6.771359444E-1	-6.740323305E-1	6.895723343E-1	1.178279540E0
1.087882432E0	6.738561392E-1	-6.385142207E-1	6.925506592E-1	1.158192092E0
1.097946698E0	-1.466035098E-1	-3.028174043E-1	7.702159882E-1	8.404901176E-1
1.107977564E0	-3.157971203E-1	-1.295081377E-1	6.175823212E-1	7.056260358E-1
1.118008464E0	-2.909068763E-1	-3.858208656E-2	5.140857697E-1	5.919455774E-1
1.128039330E0	-2.872531116E-1	-3.636074066E-2	5.143222809E-1	5.902235697E-1
1.138070230E0	3.843538761E-1	-2.358301878E-1	5.816106796E-1	7.359448092E-1
1.148101096E0	3.723002970E-1	-2.728469968E-1	5.781593323E-1	7.398116033E-1
1.158131996E0	2.044023871E-1	-7.417069077E-1	-4.383974075E-1	8.854952060E-1
1.168162862E0	1.928984225E-1	-7.749801874E-1	-4.412078857E-1	9.123971124E-1
1.178159295E0	-6.636255383E-1	-5.429499149E-1	-4.829168320E-1	9.840742512E-1
1.188152395E0	-9.478667974E-1	-9.042268991E-1	1.908664703E-1	1.323823161E0
1.198149395E0	-1.075335503E0	-8.006872535E-1	-6.139116287E-1	1.474562311E0
1.208146961E0	-8.795855045E-1	-6.776909232E-1	-1.392553329E0	1.781050371E0
1.218144527E0	-8.494506478E-1	-6.694881916E-1	-1.391576767E0	1.762460422E0
1.228142093E0	-4.130718112E-1	-9.835111499E-1	-1.833158970E0	2.120941846E0
1.238139626E0	3.357765079E-1	-1.326183319E0	-2.222910881E0	2.610141920E0
1.248137192E0	2.919240296E-1	-1.341280937E0	-2.224423409E0	2.613869486E0
1.258134725E0	8.604636192E-1	-1.324505568E0	-1.702723503E0	2.322494342E0
1.268132291E0	5.927213654E-2	-7.811322808E-1	-1.337437630E0	1.549974271E0
