"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
0.000000000E0	-3.599999845E-1	2.250000000E1	-4.163999939E1	4.733148159E1
9.998000000E-3	-5.399999619E-1	2.261999893E1	-4.181999969E1	4.754858911E1
1.999550000E-2	-2.999999821E-1	2.268000031E1	-4.211999893E1	4.783896658E1
2.999316600E-2	-2.399999946E-1	2.285999870E1	-4.205999756E1	4.787150024E1
3.999091600E-2	-9.599999785E-1	2.273999977E1	-4.211999893E1	4.787612661E1
4.998851600E-2	-1.199999928E0	2.303999901E1	-4.229999924E1	4.818268869E1
6.015268200E-2	-1.559999943E0	2.261999893E1	-4.200000000E1	4.772942438E1
7.029311000E-2	-1.079999924E0	2.213999939E1	-4.175999832E1	4.727836115E1
8.041561000E-2	-2.399999946E-1	2.237999916E1	-4.152000046E1	4.716812908E1
9.052427600E-2	-5.999999866E-2	2.213999939E1	-4.152000046E1	4.705415615E1
1.006218760E-1	0.000000000E0	2.237999916E1	-4.175999832E1	4.737891749E1
1.107103300E-1	-4.799999893E-1	2.285999870E1	-4.205999756E1	4.787330504E1
1.207912460E-1	-7.199999690E-1	2.285999870E1	-4.236000061E1	4.814008301E1
1.308657070E-1	-6.599999666E-1	2.303999901E1	-4.241999817E1	4.827766978E1
1.409347070E-1	-6.599999666E-1	2.310000038E1	-4.211999893E1	4.804310489E1
1.509989070E-1	-2.999999821E-1	2.250000000E1	-4.181999969E1	4.748949752E1
1.610695940E-1	-4.199999869E-1	2.261999893E1	-4.145999908E1	4.723105203E1
1.711260050E-1	-1.799999923E-1	2.237999916E1	-4.157999802E1	4.722068400E1
1.811791160E-1	-2.999999821E-1	2.219999886E1	-4.163999939E1	4.718918836E1
1.912293260E-1	-4.199999869E-1	2.279999924E1	-4.187999725E1	4.768595742E1
2.012768760E-1	-5.399999619E-1	2.255999947E1	-4.205999756E1	4.773142121E1
2.113220660E-1	-1.139999986E0	2.273999977E1	-4.205999756E1	4.782729957E1
2.213650660E-1	-1.079999924E0	2.279999924E1	-4.236000061E1	4.811835426E1
2.314061090E-1	-1.379999995E0	2.261999893E1	-4.241999817E1	4.809391850E1
2.414453170E-1	-1.379999995E0	2.250000000E1	-4.187999725E1	4.756141892E1
2.514828770E-1	-9.599999785E-1	2.268000031E1	-4.181999969E1	4.758378283E1
2.615211070E-1	-4.199999869E-1	2.231999969E1	-4.121999741E1	4.687693433E1
2.715556990E-1	5.999999866E-2	2.207999992E1	-4.055999756E1	4.618055217E1
2.815889840E-1	3.599999845E-1	2.213999939E1	-4.050000000E1	4.615798060E1
2.916210180E-1	7.799999714E-1	2.195999908E1	-4.007999802E1	4.570838217E1
3.016519510E-1	5.399999619E-1	2.237999916E1	-4.013999939E1	4.596058652E1
3.116828170E-1	4.799999893E-1	2.268000031E1	-4.037999725E1	4.631583954E1
3.217137170E-1	3.599999845E-1	2.279999924E1	-4.068000031E1	4.663509397E1
3.317445830E-1	-2.399999946E-1	2.292000008E1	-4.104000092E1	4.700708115E1
3.417754490E-1	0.000000000E0	2.231999969E1	-4.086000061E1	4.655880192E1
3.518063490E-1	-1.199999973E-1	2.207999992E1	-4.079999924E1	4.639160198E1
3.618039150E-1	-1.799999923E-1	2.207999992E1	-4.068000031E1	4.628629626E1
3.718014810E-1	1.199999973E-1	2.177999878E1	-4.031999969E1	4.582668570E1
3.817990470E-1	5.999999866E-2	2.177999878E1	-4.037999725E1	4.587936492E1
3.917966470E-1	-1.199999973E-1	2.207999992E1	-4.043999863E1	4.607531102E1
4.017941800E-1	4.799999893E-1	2.160000038E1	-4.050000000E1	4.590250991E1
4.117917460E-1	5.999999642E-1	2.129999924E1	-4.007999802E1	4.539224833E1
4.217892790E-1	6.599999666E-1	2.135999870E1	-4.002000046E1	4.536833236E1
4.317868450E-1	1.019999981E0	2.093999863E1	-4.002000046E1	4.517880453E1
4.417844110E-1	2.399999946E-1	2.123999977E1	-4.007999802E1	4.536079178E1
4.517819770E-1	1.199999973E-1	2.177999878E1	-4.097999954E1	4.640843791E1
4.617738770E-1	-3.599999845E-1	2.207999992E1	-4.175999832E1	4.723932108E1
4.717714100E-1	-7.799999714E-1	2.237999916E1	-4.200000000E1	4.759698270E1
4.817690100E-1	-7.199999690E-1	2.243999863E1	-4.193999863E1	4.757137189E1
4.917665430E-1	-7.799999714E-1	2.261999893E1	-4.200000000E1	4.771030027E1
5.017641090E-1	-5.399999619E-1	2.273999977E1	-4.145999908E1	4.728985846E1
5.117616750E-1	-3.599999845E-1	2.250000000E1	-4.134000015E1	4.706777255E1
5.217592410E-1	-1.199999973E-1	2.237999916E1	-4.157999802E1	4.722049341E1
5.317568410E-1	-2.999999821E-1	2.237999916E1	-4.163999939E1	4.727413576E1
5.417544410E-1	-2.399999946E-1	2.231999969E1	-4.175999832E1	4.735121378E1
5.517520070E-1	-5.999999866E-2	2.237999916E1	-4.218000031E1	4.774955904E1
5.617476400E-1	-1.799999923E-1	2.226000023E1	-4.229999924E1	4.779989483E1
5.717452060E-1	-4.199999869E-1	2.202000046E1	-4.193999863E1	4.737109145E1
5.817427390E-1	-7.199999690E-1	2.195999908E1	-4.139999771E1	4.686917719E1
5.917403050E-1	-8.399999738E-1	2.189999962E1	-4.050000000E1	4.604959916E1
6.017378380E-1	-1.199999973E-1	2.195999908E1	-3.959999847E1	4.528151763E1
6.117354040E-1	5.999999642E-1	2.177999878E1	-3.923999786E1	4.488324609E1
6.217329700E-1	8.399999738E-1	2.153999901E1	-3.911999893E1	4.466599908E1
6.317305360E-1	7.799999714E-1	2.111999893E1	-3.947999954E1	4.478094593E1
6.417281020E-1	-1.199999973E-1	2.111999893E1	-4.020000076E1	4.541044832E1
6.517256350E-1	-5.999999866E-2	2.123999977E1	-4.031999969E1	4.557239917E1
