"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.399048230E-1	-9.577099234E-3	-1.580221355E-1	9.809344292E0	9.810621700E0
1.419061560E-1	-2.394274808E-3	-1.580221355E-1	9.799766541E0	9.801040811E0
1.439072560E-1	9.577099234E-3	-1.532335877E-1	9.792584419E0	9.793787922E0
1.459087890E-1	4.788549617E-3	-1.484450400E-1	9.797372818E0	9.798498507E0
1.479068890E-1	2.394274808E-3	-1.460507661E-1	9.804554939E0	9.805642973E0
1.499082220E-1	1.197137404E-2	-1.364736706E-1	9.804554939E0	9.805512018E0
1.519046550E-1	9.577099234E-3	-1.340793967E-1	9.811738014E0	9.812658756E0
1.539057550E-1	1.915419847E-2	-1.436564922E-1	9.806949615E0	9.808020434E0
1.559063880E-1	1.436564885E-2	-1.436564922E-1	9.797372818E0	9.798436492E0
1.579074880E-1	-2.394274808E-3	-1.436564922E-1	9.794978142E0	9.796031835E0
1.599062540E-1	-9.577099234E-3	-1.460507661E-1	9.792584419E0	9.793678173E0
1.619073540E-1	4.788549617E-3	-1.484450400E-1	9.797372818E0	9.798498507E0
1.639089540E-1	9.577099234E-3	-1.795706153E-1	9.790189743E0	9.791841121E0
1.659100540E-1	2.633702382E-2	-1.604164094E-1	9.787795067E0	9.789144975E0
1.679111540E-1	1.915419847E-2	-1.580221355E-1	9.794978142E0	9.796271468E0
1.699157540E-1	2.154847234E-2	-1.556278616E-1	9.811738014E0	9.812995833E0
1.719171870E-1	0.000000000E0	-1.556278616E-1	9.806949615E0	9.808184378E0
1.739182870E-1	-2.394274808E-3	-1.628106833E-1	9.814132690E0	9.815483356E0
1.759193530E-1	4.788549617E-3	-1.604164094E-1	9.814132690E0	9.815444810E0
1.779191530E-1	1.675992459E-2	-1.532335877E-1	9.802161217E0	9.803373192E0
1.799218530E-1	1.197137404E-2	-1.508393139E-1	9.802161217E0	9.803329043E0
1.819231860E-1	1.436564885E-2	-1.580221355E-1	9.790189743E0	9.791475505E0
1.839277190E-1	2.873129770E-2	-1.484450400E-1	9.790189743E0	9.791357241E0
1.859290850E-1	2.394274808E-2	-1.412622184E-1	9.799766541E0	9.800813870E0
1.879327180E-1	1.197137404E-2	-1.460507661E-1	9.802161217E0	9.803256533E0
1.899340510E-1	4.788549617E-3	-1.340793967E-1	9.811738014E0	9.812655251E0
