"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.714335865E0	3.142115831E0	-3.341546059E0	-7.871978283E0	9.110810285E0
2.724333331E0	3.135129213E0	-3.372555256E0	-7.866989136E0	9.115518757E0
2.734330897E0	3.126468420E0	-3.429828882E0	-7.798002243E0	9.074545164E0
2.744328463E0	3.099083900E0	-3.470177174E0	-7.792076588E0	9.075401269E0
2.754326029E0	3.079170227E0	-3.500711679E0	-7.741545200E0	9.037023494E0
2.764323595E0	3.039314270E0	-3.534523487E0	-7.707980633E0	9.007954981E0
2.774287828E0	3.001679659E0	-3.567993164E0	-7.708929062E0	9.009342000E0
2.784251861E0	2.942154646E0	-3.605701685E0	-7.686983109E0	8.985937231E0
2.794216094E0	2.882215738E0	-3.628285646E0	-7.685229301E0	8.974094590E0
2.804180327E0	2.826476336E0	-3.652350664E0	-7.662940979E0	8.947027344E0
2.814144560E0	2.762882710E0	-3.668134212E0	-7.632027626E0	8.907108125E0
2.824108793E0	2.638458014E0	-3.689795732E0	-7.594854355E0	8.846347603E0
2.834073059E0	2.553661585E0	-3.686171532E0	-7.515313148E0	8.751512999E0
2.844037292E0	1.775715590E0	2.874594212E0	-7.692568302E0	8.401908403E0
