"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
7.208253180E-1	1.199999973E-1	2.351999855E1	-4.247999954E1	4.855672037E1
7.308228180E-1	2.399999946E-1	2.357999992E1	-4.236000061E1	4.848137424E1
7.408203840E-1	-5.999999866E-2	2.345999908E1	-4.236000061E1	4.842256508E1
7.508179170E-1	7.199999690E-1	2.334000015E1	-4.181999969E1	4.789766572E1
7.608154830E-1	2.399999946E-1	2.285999870E1	-4.157999802E1	4.745032535E1
7.708130490E-1	-2.999999821E-1	2.268000031E1	-4.175999832E1	4.752230922E1
7.808105820E-1	-2.999999821E-1	2.321999931E1	-4.205999756E1	4.804478913E1
7.908081150E-1	-8.399999738E-1	2.327999878E1	-4.254000092E1	4.850067650E1
8.008056810E-1	-7.199999690E-1	2.321999931E1	-4.247999954E1	4.841732261E1
8.108032470E-1	-1.799999923E-1	2.310000038E1	-4.218000031E1	4.809152569E1
8.208008130E-1	-1.199999973E-1	2.261999893E1	-4.193999863E1	4.765125640E1
8.307983790E-1	-4.199999869E-1	2.261999893E1	-4.170000076E1	4.744186775E1
8.407959450E-1	-4.799999893E-1	2.285999870E1	-4.200000000E1	4.782060163E1
8.507934780E-1	-4.799999893E-1	2.243999863E1	-4.152000046E1	4.719845735E1
8.607910440E-1	-3.599999845E-1	2.273999977E1	-4.157999802E1	4.739339009E1
8.707885770E-1	0.000000000E0	2.261999893E1	-4.152000046E1	4.728186534E1
8.807861430E-1	-2.999999821E-1	2.279999924E1	-4.152000046E1	4.736919255E1
8.907836760E-1	-3.599999845E-1	2.345999908E1	-4.218000031E1	4.826648509E1
9.007812090E-1	-5.999999642E-1	2.345999908E1	-4.211999893E1	4.821644810E1
9.107787420E-1	-8.999999762E-1	2.357999992E1	-4.247999954E1	4.859399919E1
9.207763080E-1	-8.399999738E-1	2.351999855E1	-4.265999985E1	4.872136614E1
9.307738740E-1	-6.599999666E-1	2.339999962E1	-4.247999954E1	4.850305086E1
9.407714070E-1	-5.999999642E-1	2.334000015E1	-4.259999847E1	4.857854956E1
9.507689730E-1	-2.999999821E-1	2.310000038E1	-4.223999786E1	4.814475503E1
9.607665390E-1	-1.799999923E-1	2.273999977E1	-4.193999863E1	4.770852622E1
9.707641050E-1	-5.999999866E-2	2.268000031E1	-4.229999924E1	4.799662435E1
9.807616380E-1	1.199999973E-1	2.261999893E1	-4.193999863E1	4.765125640E1
9.907592040E-1	-2.399999946E-1	2.297999954E1	-4.211999893E1	4.798158281E1
1.000756770E0	-5.999999866E-2	2.303999901E1	-4.205999756E1	4.795715326E1
1.010754336E0	-4.799999893E-1	2.297999954E1	-4.157999802E1	4.751007276E1
1.020751902E0	-5.999999642E-1	2.279999924E1	-4.175999832E1	4.758253277E1
1.030749468E0	-1.199999973E-1	2.207999992E1	-4.170000076E1	4.718507031E1
1.040747034E0	1.199999973E-1	2.213999939E1	-4.170000076E1	4.721317651E1
1.050744567E0	3.599999845E-1	2.243999863E1	-4.193999863E1	4.756728522E1
1.060742133E0	5.999999642E-1	2.231999969E1	-4.157999802E1	4.719574792E1
1.070739699E0	7.199999690E-1	2.255999947E1	-4.097999954E1	4.678495846E1
1.080737299E0	9.599999785E-1	2.202000046E1	-4.115999985E1	4.668990905E1
1.090734865E0	8.399999738E-1	2.202000046E1	-4.115999985E1	4.668759586E1
1.100732398E0	7.199999690E-1	2.237999916E1	-4.152000046E1	4.717301348E1
1.110729964E0	1.799999923E-1	2.268000031E1	-4.218000031E1	4.789120211E1
1.120727497E0	-7.199999690E-1	2.315999985E1	-4.170000076E1	4.770528332E1
1.130725063E0	-5.999999642E-1	2.297999954E1	-4.157999802E1	4.751143666E1
1.140755963E0	-1.079999924E0	2.279999924E1	-4.145999908E1	4.732798209E1
1.150786896E0	-6.599999666E-1	2.273999977E1	-4.115999985E1	4.702859531E1
1.160817729E0	1.799999923E-1	2.250000000E1	-4.091999817E1	4.669827245E1
1.170848629E0	5.999999642E-1	2.177999878E1	-4.043999863E1	4.593606248E1
1.180879495E0	1.379999995E0	2.202000046E1	-4.050000000E1	4.611978773E1
1.190910395E0	8.999999762E-1	2.189999962E1	-4.079999924E1	4.631479160E1
1.200941295E0	5.399999619E-1	2.207999992E1	-4.157999802E1	4.708199477E1
1.210972161E0	1.799999923E-1	2.279999924E1	-4.193999863E1	4.773715377E1
1.221003061E0	-6.599999666E-1	2.255999947E1	-4.181999969E1	4.752159036E1
1.231033927E0	-6.599999666E-1	2.273999977E1	-4.229999924E1	4.802950265E1
1.241064827E0	-7.199999690E-1	2.315999985E1	-4.187999725E1	4.786270117E1
1.251095693E0	-5.999999642E-1	2.339999962E1	-4.193999863E1	4.803002672E1
1.261126559E0	2.399999946E-1	2.315999985E1	-4.115999985E1	4.722910946E1
