"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.418954100E-1	2.633702382E-2	-1.245022863E-1	9.857229233E0	9.858050649E0
1.438973760E-1	2.394274808E-2	-1.316851079E-1	9.854835510E0	9.855744374E0
1.458987420E-1	2.394274808E-2	-1.340793967E-1	9.857229233E0	9.858170149E0
1.479000750E-1	5.506832153E-2	-1.245022863E-1	9.859623909E0	9.860563725E0
1.499014080E-1	5.267404765E-2	-1.268965602E-1	9.869200706E0	9.870157034E0
1.519027740E-1	4.549122229E-2	-1.173194647E-1	9.857229233E0	9.858032332E0
1.539041070E-1	3.112557158E-2	-1.197137386E-1	9.866806030E0	9.867581336E0
1.559054400E-1	2.394274808E-2	-1.197137386E-1	9.873989105E0	9.874743819E0
1.579068060E-1	2.873129770E-2	-1.221080124E-1	9.895537376E0	9.896332443E0
1.599081390E-1	3.351984918E-2	-1.340793967E-1	9.862017632E0	9.862985990E0
1.619094720E-1	1.915419847E-2	-1.268965602E-1	9.871595383E0	9.872429540E0
1.639108380E-1	1.675992459E-2	-1.149251908E-1	9.864412308E0	9.865095989E0
1.659121710E-1	2.873129770E-2	-1.245022863E-1	9.847652435E0	9.848481345E0
1.679137710E-1	1.436564885E-2	-1.197137386E-1	9.845257759E0	9.845996044E0
1.699151370E-1	1.915419847E-2	-1.221080124E-1	9.854835510E0	9.855610594E0
1.719164700E-1	3.591412306E-2	-1.316851079E-1	9.862017632E0	9.862962159E0
1.739162700E-1	3.351984918E-2	-1.268965602E-1	9.862017632E0	9.862890960E0
1.759176360E-1	2.394274808E-2	-1.268965602E-1	9.864412308E0	9.865257532E0
1.779189690E-1	2.394274808E-2	-1.245022863E-1	9.854835510E0	9.855651019E0
1.799227350E-1	3.112557158E-2	-1.364736706E-1	9.862017632E0	9.863010982E0
1.819241010E-1	4.309694469E-2	-1.412622184E-1	9.864412308E0	9.865517855E0
1.839254340E-1	5.027977005E-2	-1.292908341E-1	9.869200706E0	9.870175620E0
1.859274340E-1	3.830839694E-2	-1.292908341E-1	9.845257759E0	9.846181188E0
1.879288000E-1	5.267404765E-2	-1.340793967E-1	9.833286285E0	9.834341412E0
1.899301330E-1	4.549122229E-2	-1.412622184E-1	9.847652435E0	9.848770632E0
1.919311990E-1	3.112557158E-2	-1.316851079E-1	9.883566856E0	9.884493086E0
1.939325650E-1	3.591412306E-2	-1.340793967E-1	9.876383781E0	9.877359146E0
1.959338980E-1	4.070267081E-2	-1.245022863E-1	9.871595383E0	9.872464380E0
1.979346640E-1	4.070267081E-2	-1.245022863E-1	9.866806030E0	9.867675449E0
1.999359970E-1	3.351984918E-2	-1.268965602E-1	9.866806030E0	9.867678935E0
2.019373300E-1	2.873129770E-2	-1.292908341E-1	9.866806030E0	9.867694910E0
2.039378300E-1	4.788549617E-2	-1.340793967E-1	9.869200706E0	9.870227601E0
2.059391630E-1	4.309694469E-2	-1.364736706E-1	9.864412308E0	9.865450450E0
