"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.006803912E0	6.035178900E-2	-2.101548575E-2	-2.028751373E-2	6.704902900E-2
2.016834778E0	-1.385524869E-1	-1.253298372E-1	2.320337296E-1	2.978993309E-1
2.026865644E0	-1.134462357E-1	-1.183749959E-1	2.337198257E-1	2.854954378E-1
2.036896544E0	-4.321694374E-3	-9.725441039E-2	3.074941635E-1	3.225364444E-1
2.046927410E0	1.299614906E-1	1.225014031E-1	-9.093666077E-2	2.004147177E-1
2.056958310E0	5.203437805E-2	1.134821698E-1	-3.901414871E-1	4.096292950E-1
2.066989176E0	4.399383068E-2	1.106938273E-1	-3.907337189E-1	4.084867435E-1
2.077020076E0	-1.782972217E-1	2.378258109E-1	-6.932611465E-1	7.542957198E-1
2.087050942E0	-1.781854033E-1	3.457722068E-1	-8.471803665E-1	9.322140475E-1
2.097048475E0	-2.909945250E-1	3.421987593E-2	-8.836107254E-1	9.309225142E-1
2.107046041E0	-6.558373570E-1	-5.649884939E-1	-1.568645477E0	1.791642618E0
2.117043607E0	-3.850597382E0	2.563026905E0	-4.919181824E0	6.752374170E0
2.127041207E0	5.291789174E-1	8.451184034E-1	-7.262221336E0	7.330355665E0
2.137038773E0	7.952272892E-1	-3.959836662E-1	-9.626934052E0	9.667835784E0
2.147036606E0	8.363800049E-1	-5.450595021E-1	-9.653890610E0	9.705370950E0
2.157033972E0	8.496369720E-1	-6.852458119E-1	-9.604950905E0	9.666774368E0
2.167031505E0	8.887824416E-1	-8.274646997E-1	-9.560967445E0	9.637776224E0
2.177029038E0	9.275125861E-1	-9.765598178E-1	-9.553072929E0	9.647546376E0
2.187026604E0	9.609419107E-1	-1.120491147E0	-9.535797119E0	9.649369744E0
2.197024170E0	1.010629296E0	-1.268709898E0	-9.533107758E0	9.670115816E0
2.207021736E0	1.021479130E0	-1.411558390E0	-9.466024399E0	9.625047253E0
2.217019302E0	1.055532217E0	-1.548974156E0	-9.444730759E0	9.628935990E0
2.227016868E0	1.088886857E0	-1.688026190E0	-9.390249252E0	9.602702121E0
2.237014434E0	1.138124943E0	-1.819100976E0	-9.357701302E0	9.600574483E0
2.247011967E0	1.167831421E0	-1.958394766E0	-9.328008652E0	9.602649931E0
2.257009533E0	1.160469890E0	-2.106248140E0	-9.291662216E0	9.597810080E0
2.267007099E0	1.209537745E0	-2.240980387E0	-9.270262718E0	9.613674922E0
2.277004665E0	1.214271545E0	-2.376817942E0	-9.196871758E0	9.576333799E0
2.287002231E0	1.253723145E0	-2.525337458E0	-9.138668060E0	9.563702469E0
2.296999797E0	1.286994576E0	-2.648223877E0	-9.090956688E0	9.555885006E0
2.306997363E0	1.299510121E0	-2.762020826E0	-9.027557373E0	9.529652550E0
2.316994929E0	1.334078789E0	-2.902438402E0	-9.001319885E0	9.551317949E0
