"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
6.303816940E-1	-3.599999845E-1	3.552000046E1	-3.101999855E1	4.715973221E1
6.404125940E-1	5.999999866E-2	3.539999771E1	-3.095999908E1	4.702855496E1
6.504434600E-1	0.000000000E0	3.593999863E1	-3.119999886E1	4.759331287E1
6.604743600E-1	2.399999946E-1	3.545999908E1	-3.119999886E1	4.723250008E1
6.705052260E-1	-4.199999869E-1	3.623999786E1	-3.197999954E1	4.833460681E1
6.805361260E-1	-3.599999845E-1	3.636000061E1	-3.179999924E1	4.830547791E1
6.905669920E-1	1.199999973E-1	3.593999863E1	-3.185999870E1	4.802871452E1
7.005978920E-1	2.999999821E-1	3.629999924E1	-3.209999847E1	4.845812467E1
7.106287920E-1	2.999999821E-1	3.605999756E1	-3.239999771E1	4.847858574E1
7.206596580E-1	1.799999923E-1	3.605999756E1	-3.209999847E1	4.827800458E1
7.306905910E-1	-5.999999866E-2	3.611999893E1	-3.173999977E1	4.808415028E1
7.407214570E-1	-2.399999946E-1	3.605999756E1	-3.167999840E1	4.800003461E1
7.507523570E-1	-2.399999946E-1	3.581999969E1	-3.150000000E1	4.770094316E1
7.607832230E-1	0.000000000E0	3.575999832E1	-3.197999954E1	4.797392886E1
7.708141230E-1	1.799999923E-1	3.557999802E1	-3.143999863E1	4.748096642E1
7.808116560E-1	3.599999845E-1	3.557999802E1	-3.107999992E1	4.724438860E1
7.908092220E-1	4.199999869E-1	3.557999802E1	-3.107999992E1	4.724488389E1
8.008068220E-1	5.999999642E-1	3.491999817E1	-3.059999847E1	4.643410577E1
8.108043550E-1	4.799999893E-1	3.504000092E1	-3.113999939E1	4.687997042E1
8.208019210E-1	2.999999821E-1	3.527999878E1	-3.126000023E1	4.713762752E1
8.307994540E-1	2.999999821E-1	3.504000092E1	-3.071999931E1	4.660053671E1
8.407970200E-1	4.199999869E-1	3.497999954E1	-3.053999901E1	4.643778965E1
8.507945530E-1	3.599999845E-1	3.497999954E1	-3.077999878E1	4.659547503E1
8.607921190E-1	2.399999946E-1	3.473999786E1	-3.059999847E1	4.629562569E1
8.707896850E-1	3.599999845E-1	3.504000092E1	-3.077999878E1	4.664053590E1
8.808203850E-1	-5.999999866E-2	3.570000076E1	-3.101999855E1	4.729412188E1
8.908512510E-1	2.999999821E-1	3.563999939E1	-3.107999992E1	4.728917373E1
9.008821510E-1	-1.199999973E-1	3.570000076E1	-3.155999947E1	4.765016286E1
9.109130170E-1	-2.399999946E-1	3.581999969E1	-3.143999863E1	4.766134169E1
